CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,,,,,
no_checking,48,credits_paid_to_date,other,7681,unknown,greater_7,5,male,co-applicant,4,unknown,43,none,own,2,skilled,1,none,yes,,,,,
no_checking,22,outstanding_credit,furniture,2150,500_to_1000,1_to_4,4,male,none,3,savings_insurance,55,none,own,1,management_self-employed,1,yes,yes,,,,,
less_0,4,no_credits,car_new,250,less_100,less_1,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,,,,,
no_checking,36,outstanding_credit,furniture,7339,unknown,greater_7,5,male,co-applicant,5,unknown,52,none,free,3,skilled,2,yes,yes,,,,,
no_checking,28,outstanding_credit,furniture,9054,500_to_1000,greater_7,4,male,guarantor,4,car_other,57,none,own,2,skilled,1,yes,yes,,,,,
no_checking,32,prior_payments_delayed,furniture,9016,100_to_500,1_to_4,4,male,co-applicant,5,unknown,46,none,free,2,management_self-employed,1,yes,yes,,,,,
0_to_200,7,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,,,,,
greater_200,34,prior_payments_delayed,business,1998,100_to_500,4_to_7,2,male,none,2,real_estate,38,none,rent,1,skilled,2,none,yes,,,,,
less_0,13,all_credits_paid_back,furniture,3291,less_100,less_1,1,male,none,2,real_estate,29,none,own,1,skilled,1,none,yes,,,,,
0_to_200,17,prior_payments_delayed,car_used,2436,100_to_500,4_to_7,3,female,none,2,savings_insurance,34,none,own,1,skilled,1,yes,yes,,,,,
no_checking,8,all_credits_paid_back,vacation,5560,less_100,4_to_7,3,female,co-applicant,3,savings_insurance,57,none,own,2,skilled,1,yes,yes,,,,,
less_0,11,all_credits_paid_back,car_new,996,less_100,1_to_4,2,female,none,2,real_estate,32,bank,rent,1,unemployed,1,none,yes,,,,,
0_to_200,15,credits_paid_to_date,furniture,3481,500_to_1000,1_to_4,2,male,none,3,car_other,43,none,own,1,skilled,2,yes,yes,,,,,
no_checking,53,outstanding_credit,radio_tv,9963,greater_1000,4_to_7,4,male,guarantor,3,unknown,55,none,own,2,skilled,1,yes,yes,,,,,
no_checking,26,prior_payments_delayed,appliances,5362,500_to_1000,4_to_7,4,male,none,4,savings_insurance,41,none,own,3,skilled,1,none,yes,,,,,
greater_200,21,outstanding_credit,radio_tv,4080,100_to_500,4_to_7,3,male,none,3,car_other,52,none,own,1,skilled,1,yes,yes,,,,,
0_to_200,19,prior_payments_delayed,furniture,250,100_to_500,greater_7,3,male,none,3,real_estate,32,none,own,2,skilled,1,none,yes,,,,,
no_checking,32,prior_payments_delayed,business,6394,100_to_500,greater_7,5,female,none,4,car_other,44,none,own,1,skilled,1,yes,yes,,,,,
greater_200,16,credits_paid_to_date,retraining,5367,less_100,1_to_4,3,female,none,3,savings_insurance,23,none,own,1,skilled,1,none,yes,,,,,
less_0,10,prior_payments_delayed,furniture,2014,less_100,1_to_4,3,female,co-applicant,1,real_estate,41,stores,own,1,skilled,1,none,yes,,,,,
less_0,13,all_credits_paid_back,car_new,766,100_to_500,less_1,1,female,none,1,savings_insurance,36,stores,own,2,skilled,1,none,yes,,,,,
less_0,11,all_credits_paid_back,car_used,261,less_100,unemployed,2,female,none,1,real_estate,20,none,rent,2,skilled,1,none,yes,,,,,
no_checking,26,outstanding_credit,business,6764,unknown,greater_7,4,male,none,3,unknown,58,none,free,2,skilled,1,yes,yes,,,,,
no_checking,27,outstanding_credit,furniture,7261,500_to_1000,greater_7,5,male,guarantor,5,car_other,65,stores,own,2,unskilled,1,yes,no,,,,,
less_0,9,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,1,real_estate,28,none,rent,1,skilled,1,none,yes,,,,,
0_to_200,16,credits_paid_to_date,furniture,1212,less_100,less_1,3,female,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes,,,,,
0_to_200,39,outstanding_credit,repairs,3569,500_to_1000,greater_7,4,male,none,3,savings_insurance,35,none,own,2,skilled,1,none,yes,,,,,
no_checking,32,credits_paid_to_date,car_used,1553,greater_1000,1_to_4,4,male,none,3,real_estate,44,none,own,1,skilled,1,none,yes,,,,,
0_to_200,21,outstanding_credit,radio_tv,3364,100_to_500,1_to_4,2,female,none,1,savings_insurance,44,stores,rent,2,skilled,2,yes,yes,,,,,
less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,1,real_estate,26,stores,rent,1,unskilled,1,none,yes,,,,,
no_checking,26,prior_payments_delayed,radio_tv,5723,100_to_500,greater_7,5,male,none,4,unknown,45,none,free,2,skilled,1,yes,no,,,,,
less_0,19,credits_paid_to_date,radio_tv,4040,less_100,4_to_7,3,male,none,3,savings_insurance,31,none,own,2,skilled,1,yes,yes,,,,,
greater_200,22,outstanding_credit,car_used,3275,100_to_500,greater_7,3,male,none,3,car_other,41,none,own,2,skilled,1,yes,yes,,,,,
less_0,4,no_credits,car_new,250,less_100,less_1,1,male,none,1,real_estate,27,stores,rent,1,skilled,1,none,yes,,,,,
no_checking,40,outstanding_credit,vacation,7757,greater_1000,greater_7,4,male,co-applicant,3,unknown,51,none,free,2,skilled,1,yes,yes,,,,,
no_checking,34,prior_payments_delayed,appliances,6083,500_to_1000,1_to_4,4,male,none,5,savings_insurance,34,none,free,2,management_self-employed,1,yes,yes,,,,,
