GarageQual,GarageCond,Electrical,LotShape,SaleCondition,YrSold,SalePrice
TA,TA,SBrkr,Reg,Normal,2008,208500
TA,TA,SBrkr,Reg,Normal,2007,181500
TA,TA,SBrkr,IR1,Normal,2008,223500
TA,TA,SBrkr,IR1,Abnorml,2006,140000
TA,TA,SBrkr,IR1,Normal,2008,250000
TA,TA,SBrkr,IR1,Normal,2009,143000
TA,TA,SBrkr,Reg,Normal,2007,307000
TA,TA,SBrkr,IR1,Normal,2009,200000
Fa,TA,FuseF,Reg,Abnorml,2008,129900
Gd,TA,SBrkr,Reg,Normal,2008,118000
TA,TA,SBrkr,Reg,Normal,2008,129500
TA,TA,SBrkr,IR1,Partial,2006,345000
TA,TA,SBrkr,IR2,Normal,2008,144000
TA,TA,SBrkr,IR1,Partial,2007,279500
TA,TA,SBrkr,IR1,Normal,2008,157000
TA,TA,FuseA,Reg,Normal,2007,132000
TA,TA,SBrkr,IR1,Normal,2010,149000
TA,TA,SBrkr,Reg,Normal,2006,90000
TA,TA,SBrkr,Reg,Normal,2008,159000
TA,TA,SBrkr,Reg,Abnorml,2009,139000
TA,TA,SBrkr,IR1,Partial,2006,325300
TA,TA,FuseF,Reg,Normal,2007,139400
TA,TA,SBrkr,Reg,Normal,2008,230000
TA,TA,SBrkr,Reg,Normal,2007,129900
TA,TA,SBrkr,IR1,Normal,2010,154000
TA,TA,SBrkr,Reg,Normal,2009,256300
TA,TA,SBrkr,Reg,Normal,2010,134800
TA,TA,SBrkr,Reg,Normal,2010,306000
TA,TA,SBrkr,IR1,Normal,2006,207500
Fa,TA,SBrkr,IR1,Normal,2008,68500
TA,Fa,SBrkr,Reg,Normal,2008,40000
TA,TA,SBrkr,IR1,Normal,2008,149350
TA,TA,SBrkr,Reg,Normal,2008,179900
TA,TA,SBrkr,IR1,Normal,2010,165500
TA,TA,SBrkr,Reg,Normal,2007,277500
TA,TA,SBrkr,Reg,Normal,2006,309000
TA,TA,SBrkr,Reg,Normal,2009,145000
TA,TA,SBrkr,Reg,Normal,2009,153000
TA,TA,SBrkr,Reg,Abnorml,2010,109000
,,FuseP,Reg,AdjLand,2008,82000
TA,TA,SBrkr,Reg,Abnorml,2006,160000
TA,TA,SBrkr,Reg,Normal,2007,170000
TA,Gd,SBrkr,IR1,Normal,2007,144000
TA,TA,SBrkr,IR1,Normal,2008,130250
TA,TA,FuseA,Reg,Normal,2006,141000
TA,TA,SBrkr,Reg,Normal,2010,319900
TA,TA,SBrkr,IR1,Abnorml,2009,239686
TA,TA,SBrkr,Reg,Normal,2007,249700
,,SBrkr,Reg,Partial,2009,113000
TA,TA,SBrkr,Reg,Normal,2007,127000
TA,TA,SBrkr,IR2,Normal,2007,177000
TA,TA,SBrkr,Reg,Normal,2006,114500
TA,TA,SBrkr,IR2,Normal,2010,110000
TA,TA,SBrkr,IR1,Normal,2006,385000
TA,TA,SBrkr,Reg,Normal,2007,130000
TA,TA,SBrkr,IR1,Normal,2008,180500
TA,TA,SBrkr,Reg,Abnorml,2009,172500
TA,TA,SBrkr,IR1,Normal,2006,196500
TA,TA,SBrkr,IR2,Partial,2006,438780
TA,TA,SBrkr,Reg,Normal,2008,124900
TA,TA,SBrkr,Reg,Partial,2006,158000
TA,TA,SBrkr,Reg,Normal,2007,101000
TA,TA,SBrkr,IR1,Normal,2007,202500
TA,TA,SBrkr,IR1,Normal,2010,140000
TA,TA,SBrkr,Reg,Normal,2009,219500
TA,TA,SBrkr,Reg,Normal,2007,317000
TA,TA,SBrkr,Reg,Normal,2010,180000
TA,TA,SBrkr,IR1,Normal,2007,226000
TA,TA,SBrkr,Reg,Normal,2010,80000
TA,TA,SBrkr,Reg,Normal,2006,225000
TA,TA,SBrkr,IR1,Normal,2007,244000
TA,TA,SBrkr,Reg,Normal,2007,129500
TA,TA,SBrkr,IR1,Normal,2009,185000
TA,TA,SBrkr,Reg,Normal,2010,144900
TA,TA,SBrkr,Reg,Normal,2010,107400
TA,TA,SBrkr,Reg,Normal,2009,91000
TA,TA,FuseA,IR1,Normal,2008,135750
TA,TA,SBrkr,Reg,Normal,2008,127000
,,SBrkr,Reg,Normal,2010,136500
TA,TA,SBrkr,Reg,Normal,2009,110000
TA,TA,SBrkr,Reg,Normal,2009,193500
TA,TA,SBrkr,Reg,Normal,2006,153500
TA,TA,SBrkr,Reg,Normal,2008,245000
TA,TA,SBrkr,IR1,Normal,2007,126500
TA,TA,SBrkr,IR1,Normal,2009,168500
TA,TA,SBrkr,Reg,Normal,2006,260000
TA,TA,SBrkr,IR2,Normal,2009,174000
TA,TA,SBrkr,Reg,Partial,2009,164500
,,SBrkr,IR1,Abnorml,2009,85000
,,SBrkr,Reg,Normal,2007,123600
TA,TA,FuseA,Reg,Normal,2006,109900
TA,TA,SBrkr,Reg,Abnorml,2006,98600
TA,TA,SBrkr,IR1,Normal,2009,163500
TA,TA,SBrkr,Reg,Normal,2007,133900
TA,TA,SBrkr,IR1,Normal,2007,204750
TA,TA,SBrkr,IR2,Normal,2009,185000
TA,TA,SBrkr,IR1,Normal,2006,214000
TA,TA,FuseF,Reg,Normal,2007,94750
Fa,TA,SBrkr,Reg,Abnorml,2010,83000
,,SBrkr,IR1,Normal,2010,128950
TA,TA,SBrkr,IR1,Normal,2010,205000
TA,TA,SBrkr,Reg,Normal,2010,178000
TA,TA,SBrkr,Reg,Alloca,2009,118964
TA,TA,SBrkr,IR1,Normal,2010,198900
TA,TA,FuseF,Reg,Normal,2007,169500
TA,TA,SBrkr,Reg,Normal,2008,250000
Fa,Fa,SBrkr,Reg,Normal,2007,100000
TA,TA,SBrkr,Reg,Partial,2008,115000
,,FuseF,Reg,Normal,2007,115000
TA,TA,SBrkr,IR1,Normal,2010,190000
TA,TA,SBrkr,Reg,Normal,2006,136900
TA,TA,SBrkr,IR1,Normal,2010,180000
TA,TA,SBrkr,Reg,Partial,2007,383970
TA,TA,SBrkr,Reg,Abnorml,2007,217000
TA,TA,SBrkr,IR1,Normal,2007,259500
TA,TA,SBrkr,Reg,Normal,2007,176000
TA,TA,SBrkr,Reg,Normal,2009,139000
TA,TA,SBrkr,Reg,Partial,2007,155000
TA,TA,SBrkr,Reg,Normal,2010,320000
TA,TA,SBrkr,Reg,Partial,2006,163990
TA,TA,SBrkr,IR1,Normal,2006,180000
TA,TA,SBrkr,Reg,Normal,2007,100000
TA,TA,SBrkr,Reg,Normal,2008,136000
TA,TA,SBrkr,Reg,Normal,2008,153900
TA,TA,SBrkr,IR1,Normal,2009,181000
,,SBrkr,Reg,Normal,2006,84500
TA,TA,SBrkr,IR1,Normal,2007,128000
,,SBrkr,IR1,Normal,2007,87000
TA,TA,SBrkr,Reg,Normal,2006,155000
TA,TA,FuseA,Reg,Abnorml,2006,150000
TA,TA,SBrkr,Reg,Normal,2006,226000
TA,TA,SBrkr,IR1,Normal,2009,244000
TA,TA,SBrkr,Reg,Normal,2007,150750
TA,TA,SBrkr,IR1,Normal,2009,220000
TA,TA,SBrkr,IR1,Normal,2006,180000
TA,TA,SBrkr,Reg,Normal,2008,174000
TA,TA,SBrkr,IR1,Normal,2007,143000
TA,TA,SBrkr,Reg,Family,2006,171000
TA,TA,SBrkr,IR1,Normal,2008,230000
TA,TA,SBrkr,IR1,Normal,2009,231500
,,SBrkr,Reg,Normal,2010,115000
TA,TA,SBrkr,Reg,Normal,2006,260000
TA,TA,SBrkr,Reg,Normal,2010,166000
TA,TA,SBrkr,IR1,Normal,2009,204000
TA,TA,SBrkr,Reg,Abnorml,2006,125000
TA,TA,SBrkr,Reg,Normal,2006,130000
Fa,TA,FuseA,Reg,Normal,2009,105000
TA,TA,SBrkr,IR1,Normal,2010,222500
,,SBrkr,Reg,Normal,2008,141000
Fa,TA,FuseA,Reg,Normal,2006,115000
TA,TA,SBrkr,Reg,Normal,2007,122000
TA,TA,SBrkr,Reg,Partial,2008,372402
TA,TA,SBrkr,IR1,Normal,2006,190000
TA,TA,SBrkr,Reg,Normal,2008,235000
Fa,Fa,FuseA,Reg,Family,2006,125000
,,FuseF,Reg,Normal,2008,79000
TA,TA,FuseF,Reg,Normal,2006,109500
TA,TA,SBrkr,Reg,Partial,2010,269500
TA,TA,SBrkr,Reg,Normal,2010,254900
TA,TA,SBrkr,IR1,Partial,2006,320000
TA,TA,SBrkr,IR1,Normal,2008,162500
TA,TA,SBrkr,IR1,Normal,2008,412500
TA,TA,SBrkr,Reg,Partial,2010,220000
,,SBrkr,Reg,Normal,2007,103200
TA,TA,FuseA,Reg,Normal,2007,152000
,,SBrkr,Reg,Normal,2008,127500
TA,TA,FuseA,IR1,Normal,2009,190000
TA,TA,SBrkr,Reg,Partial,2007,325624
TA,TA,SBrkr,IR1,Normal,2007,183500
TA,TA,SBrkr,IR1,Normal,2006,228000
TA,TA,SBrkr,IR1,Normal,2007,128500
TA,TA,SBrkr,IR1,Normal,2010,215000
Gd,TA,SBrkr,IR1,Normal,2006,239000
TA,TA,SBrkr,IR1,Normal,2008,163000
TA,TA,SBrkr,IR1,Normal,2008,184000
TA,TA,SBrkr,Reg,Normal,2007,243000
TA,TA,SBrkr,IR1,Normal,2007,211000
TA,TA,SBrkr,Reg,Normal,2006,172500
TA,TA,SBrkr,IR1,Partial,2009,501837
Fa,TA,SBrkr,Reg,Normal,2007,100000
